reportnumber,origin,filerid,filertype,filername,firstname,middleinitial,lastname,office,legislativedistrict,position,party,jurisdiction,jurisdictioncounty,jurisdictiontype,electionyear,amount,recordtype,fromdate,thrudate,debtdate,code,description,vendorname,vendoraddress,vendorcity,vendorstate,vendorzip
100495995,B.3,RYU C  133,Candidate,RYU CINDY S,CINDY,S,RYU,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496548,B.3,THOMT  368,Candidate,THOMAS TIMOTHY N JR,TIMOTHY,N,THOMAS,COUNTY COMMISSIONER,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100498383,B.3,FEY J  422,Candidate,FEY JACOB C,JACOB,C,FEY,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100495987,B.3,STRAS  111,Candidate,STRACHAN STEVEN D,STEVEN,D,STRACHAN,COUNTY SHERIFF,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496259,B.3,INSLJ  110,Candidate,INSLEE JAY R,JAY,R,INSLEE,GOVERNOR,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496199,B.3,RICCM  210,Candidate,RICCELLI MARCUS M,MARCUS,M,RICCELLI,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496375,B.3,OQUIS  210,Candidate,O'QUINN SHELLY J,SHELLY,J,O'QUINN,COUNTY COMMISSIONER,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100495977,B.3,MOSCL  043,Candidate,MOSCOSO LUIS S,LUIS,S,MOSCOSO,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496190,B.3,LYTTK  221,Candidate,LYTTON KRISTINE C,KRISTINE,C,LYTTON,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496281,B.3,CLOUJ  336,Candidate,CLOUGH JERAME V,JERAME,V,CLOUGH,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
